Title: Daily newspaper endorsements in the 2016 United States presidential election

URL Source: https://en.wikipedia.org/wiki/Daily_newspaper_endorsements_in_the_2016_United_States_presidential_election

Published Time: 2019-01-17T22:18:15Z

Markdown Content:
From Wikipedia, the free encyclopedia

Various notable daily newspapers made endorsements of candidates in the 2016 United States presidential election, as follows. The table below indicates which candidate each publication endorsed in the 2012 United States presidential election and includes only endorsements for the general election.

### Summary of daily newspapers

[edit]

| Candidate | Endorsements | Breakdown by 2012 endorsement |
| --- | --- | --- |
| Hillary Clinton | 244 | 100 Barack Obama; 47 Mitt Romney; 19 no endorsement; 1 split endorsement; 76 undetermined |
| No endorsement | 65 | 38 Mitt Romney; 2 Barack Obama; 2 no endorsement; 11 undetermined |
| Donald Trump | 20 | 14 Mitt Romney; 6 undetermined |
| Gary Johnson | 9 | 2 Barack Obama; 5 Mitt Romney; 2 undetermined |
| Not Donald Trump | 8 | 2 Mitt Romney; 1 Barack Obama; 4 no endorsement; 1 undetermined |
| Split endorsement | 2 | 2 split endorsement |
| Evan McMullin | 1 | 1 undetermined |
| Not Hillary Clinton | 1 | 1 undetermined |

### Endorsements by daily newspapers

[edit]

| Newspaper | 2016 endorsement | Largest reported circulation | Endorsement date | City | State | 2012 endorsement | Notes |
159.   **^**"Editorially Speaking: Trump's intolerant remarks disqualify him as president". _muskogeephoenix.com_. Retrieved October 11, 2016.
160.   **^**"It's Clinton vs. Trump — and we're with her". _time-standard.com_. Retrieved October 14, 2016.
161.   **^**"Eureka Times Standard". Echo Media.
162.   **^**"Editorial: We endorse Hillary Clinton for president". _Niagara Gazette_. Retrieved October 9, 2016.
163.   **^**"Editorial: Hillary Clinton for president". _Kokomo Tribune_. Retrieved October 9, 2016.
164.   **^**"Our View: Hillary Clinton for president". _Mankato Free Press_. Retrieved October 9, 2016.
165.   **^**"Hillary Clinton the only choice for president". _The Tribune-Democrat_. Retrieved October 9, 2016.
166.   **^**"Romney can right listing ship". _The Tribune-Democrat_. 4 November 2012.
167.   **^**"Using LeBron James as endorsement vehicle for Hillary Clinton a perfect fit for an awkward election". _The Plain Dealer_. Retrieved October 9, 2016.
168.   **^**"On the basis of sound leadership, re-elect Obama: endorsement editorial". _cleveland.com_. 21 October 2012.
169.   **^**"Plain Dealer presidential endorsements: Every pick we made since 1936". 21 October 2012.
170.   **^**"We endorse Clinton for president and implore voters to be responsible". _Las Vegas Sun_. Retrieved October 9, 2016.
171.   **^**"Daily newspapers – Nevada Press Association".
172.   **^**"The Sun's 2012 endorsements". October 28, 2012.
173.   **^**"For president: Trump unfit, Clinton is qualified". _The Columbus Dispatch_. Retrieved October 9, 2016.
174.   **^**"Gatehouse Media» The Columbus Dispatch". _www.gatehousemedia.com_. Archived from the original on 2016-10-31. Retrieved 2019-01-17.
175.   **^**"For president". Archived from the original on 2012-10-22. Retrieved 2019-01-17.
176.   **^**"Hillary Clinton is the candidate ready to lead". _The Day_. Retrieved October 9, 2016.
177.   **^**"Obama better choice in critical election". _The Day_.
178.   **^**"Our endorsement – Hillary Clinton". _The Hawk Eye_. Retrieved October 9, 2016.
179.   **^**"Verified Audit Circulation". _www.verifiedaudit.com_.
180.   **^**"Not for Hillary". _The Northwest Arkansas Democrat Gazette_. Archived from the original on October 22, 2017. Retrieved October 9, 2016.
181.   **^**"Not for The Donald". _The Northwest Arkansas Democrat Gazette_. Retrieved October 9, 2016.
182.   **^**"Northwest Arkansas Democrat Gazette – daily newspaper in Fayetteville, Arkansas USA with local news and events". _www.mondotimes.com_. Retrieved November 1, 2016.
183.   **^**"Not for The Donald". _Arkansas Online_. 9 October 2016.
184.   **^**"Not for Hillary". _Arkansas Online_. 9 October 2016.
185.   **^**"The Highest Circulation Newspapers in the United States – the biggest American newspapers at Mondo Times". _www.mondotimes.com_. Retrieved November 1, 2016.
186.   **^**"McAlester News-Capital endorses Hillary Clinton". _McAlester News-Capital_. Retrieved October 9, 2016.
187.   **^**Emerson, Xavier. "Echo Media V3 Print Media Experts".
188.   **^**"Clinton the obvious choice for president". _Commercial-News_. Retrieved October 9, 2016.
189.   **^**"Clinton by far the better choice for president". _The Sun News_. Retrieved October 9, 2016.
190.   **^**"Our view: Hillary Clinton is the clear choice for president". _Newburyport News_. Retrieved October 9, 2016.
191.   ^ _**a**_ _**b**_ _**c**_"Endorsement: We're with Hillary Clinton. Frankly, Donald Trump's dangerous". _AL.com_. Retrieved October 9, 2016.
192.   ^ _**a**_ _**b**_ _**c**_"Alabama Media Group: Why we will not be endorsing a presidential candidate". _AL.com_. 5 November 2012.
193.   **^**"Our view: Hillary Clinton is the clear choice for president". _The Eagle-Tribune_. Retrieved October 9, 2016.
194.   **^**"Editorial: The choice is already clear". _The Eagle-Tribune_. 9 September 2012.
195.   **^**"Record Endorsements, President: Clinton best for country". _The Record_. Retrieved October 9, 2016.
196.   **^**"Four more years". _recordnet.com_. Archived from the original on 2019-01-19. Retrieved 2019-01-17.
197.   **^**"We Choose Clinton". _Valdosta Daily Times_. Retrieved October 9, 2016.
198.   ^ _**a**_ _**b**_"Editorial: Why We support Clinton for President". _Press-Republican_. Retrieved October 9, 2016.
199.   **^**"Cumberland Times-News: 'Why we have decided to endorse Hillary'". _Cumberland Times-News_. Retrieved October 9, 2016.
200.   **^**"Step aside, Donald". _Grand Junction Daily Sentinel_. October 9, 2016. Archived from the original on October 10, 2016. Retrieved October 9, 2016.
201.   **^**"Elect Mitt Romney as president of the United States". _www.gjsentinel.com_. Archived from the original on 2012-10-18. Retrieved 2019-01-17.
202.   **^**"Editorial: GOP must force Trump to drop out". _mycentraljersey.com_. October 9, 2016. Retrieved October 9, 2016.
203.   ^ _**a**_ _**b**_ _**c**_"NJPA New Jersey Press Association – Member Newspapers – Dailies".
204.   **^**"Clinton is the far superior choice for president". _marinij.com_. October 9, 2016. Retrieved October 9, 2016.
205.   **^**Emerson, Xavier. "Echo Media V3 Print Media Experts".
206.   **^**"Editorial: IJ endorses Barack Obama for president". 21 October 2012.
207.   **^**"Our view: Hillary Clinton is the clear choice for president". _Gloucester Daily Times_. October 9, 2016. Retrieved October 9, 2016.
208.   **^**"Our view: Hillary Clinton is the clear choice for president". _gloucestertimes.com_. October 9, 2016. Retrieved October 9, 2016.
209.   **^**"Editorial: GOP must force Trump to drop out". _app.com_. October 9, 2016. Retrieved October 9, 2016.
210.   **^**"Editorial: GOP must force Trump to drop out". _dailyrecord.com_. October 9, 2016. Retrieved October 9, 2016.
211.   **^**"Guest editorial: Clinton's the choice". _woodwardnews.net_. October 9, 2016. Retrieved October 9, 2016.
212.   **^**"Trump video is the final straw: We are with her". _Register-Herald_. October 9, 2016. Retrieved October 9, 2016.
213.   **^**"Guest editorial: Only choice for president is Clinton". _The Huntsville Item_. October 9, 2016. Retrieved October 9, 2016.
214.   **^**"Editorial: Hillary Clinton for president". _newsandtribune.com_. October 9, 2016. Retrieved October 9, 2016.[_permanent dead link_]
215.   **^**"Jeffersonville News and Tribune – daily newspaper in Jeffersonville, Indiana USA with local news and events". _www.mondotimes.com_. Retrieved October 10, 2016.
216.   **^**"Our Opinion: Hillary Clinton best choice for president". _News and Tribune_. 11 October 2016.
217.   **^**"Editorial: Hillary Clinton for president". _greensburgdailynews.com_. October 10, 2016. Retrieved October 9, 2016.[_permanent dead link_]
218.   **^**"Sunday's Editorial: Clinton, The only viable choice". _dailyitem.com_. October 9, 2016. Retrieved October 10, 2016.
219.   ^ _**a**_ _**b**_ _**c**_ _**d**_ _**e**_"Newspaper Endorsements Open Thread". _www.politicspa.com_. 3 April 2017.
220.   **^**"Transcript endorses Hillary Clinton". _normantranscript.com_. October 9, 2016. Retrieved October 10, 2016.
221.   **^**"Editorial: Hillary Clinton best suited to be president". _timeswv.com_. October 9, 2016. Retrieved October 10, 2016.
222.   **^**"Editorial: Month until Nov. 8, endorsements to begin". _naplesnews.com_. October 9, 2016. Retrieved October 15, 2016.
223.   **^**"Editorial: For presidency, Clinton the clear choice". _tribstar.com_. October 10, 2016. Retrieved October 10, 2016.
224.   **^**"Our view: A nation at risk". _joplinglobe.com_. October 10, 2016. Retrieved October 10, 2016.
225.   **^**"Endorsement: Mitt Romney for president". _Joplin Globe_. 27 October 2012.
226.   **^**"The Record endorsement: Vote for Clinton, a fighter qualified for the presidency". _northjersey.com_. October 10, 2016. Retrieved October 10, 2016.
227.   **^**"Bristol Herald Courier can't stomach Trump or Clinton for Election 2016". _heraldcourier.com_. October 10, 2016. Retrieved October 10, 2016.
228.   **^**"The Times Record Endorses Hillary Clinton". _timesrecord.com_. October 10, 2016. Archived from the original on October 11, 2016. Retrieved October 10, 2016.
229.   **^**"Advertise With Us". The Times Record. Archived from the original on January 9, 2012.
230.   **^**"Editorial, Oct. 11, 2016: Clinton's the only option for president". _santacruzsentinel.com_. October 10, 2016. Archived from the original on October 11, 2016. Retrieved October 10, 2016.
231.   **^**Emerson, Xavier. "Echo Media V3 Print Media Experts".
232.   **^**"Editorial: Obama deserves second term". 23 October 2012.
233.   **^**"OUR OPINION: Hillary Clinton best choice for president". _goshennews.com_. October 11, 2016. Retrieved October 11, 2016.[_permanent dead link_]
234.   **^**"YDR editorial board: Don't vote for Trump (editorial)". _ydr.com_. Retrieved October 11, 2016.
235.   **^**"Editorial: Vote for Hillary Clinton on Tuesday, Nov. 8". _newjerseyhills.com_. Retrieved October 11, 2016.
236.   **^**"NJPA New Jersey Press Association – Newspaper Members – New Jersey Hills Media Group". _www.njpa.org_.
237.   **^**"Editorial: Vote for Barack Obama". _New Jersey Hills_. 26 October 2012.
238.   ^ _**a**_ _**b**_"Our opinion: Surprised by Trump's lewd remarks? Why?". _thonline.com_. Retrieved October 11, 2016.
239.   **^**"Dubuque Iowa "Telegraph Herald" Daily Newspaper".
240.   **^**"OPINION: Clinton the only choice for president". _mineralwellsindex.com_. Archived from the original on June 26, 2017. Retrieved October 12, 2016.
241.   **^**"Editorial: Ada News endorses Hillary Clinton". _theadanews.com_. Retrieved October 12, 2016.
242.   ^ _**a**_ _**b**_ _**c**_"cnhi-can Circulation". Community Newspaper Holdings, Inc. Classified Advertising Network. Archived from the original on 2016-02-17. Retrieved 2019-01-17.
243.   **^**"Editorial: In the end, Hillary Clinton is the only qualified candidate, and the best choice". Retrieved October 12, 2016.
244.   **^**"Tribune endorsement: Too Many Mitts". Retrieved October 12, 2016.
245.   **^**"Editorial: For president, Hillary Clinton". _burlingtonfreepress.com_. Retrieved October 12, 2016.
246.   ^ _**a**_ _**b**_ _**c**_ _**d**_ _**e**_ _**f**_"Final update: Newspapers continue to endorse presidential candidates, but does anybody really care?". _Daily Kos_.
247.   **^**"Editorial: Clinton the only choice in November". _record-eagle.com_. Retrieved October 12, 2016.
248.   **^**"Editorial: Clinton should be next president". _courierpostonline.com_. Retrieved October 12, 2016.
249.   **^**"Editorial: Clinton should be next president". _thedailyjournal.com_. Retrieved October 12, 2016.
250.   **^**"Trump's intolerant remarks disqualify him as president". _The Tahlequah Daily Press_. Retrieved October 12, 2016.
251.   **^**"COLUMN: Clinton is the clear choice". _The Glasgow Daily Times_. Retrieved October 12, 2016.
252.   **^**"Examiner Endorsements: U.S. President". Archived from the original on October 18, 2016. Retrieved October 13, 2016.
253.   **^**"Verified Audit Circulation". _www.verifiedaudit.com_.
254.   **^**"Hillary Clinton for president". _The Washington Post_. October 13, 2016.
255.   **^**"Washington Post endorsement: Four more years for President Obama". _The Washington Post_. October 25, 2012. Retrieved October 25, 2012.
256.   **^**"Donald Trump is a unique threat to American democracy". _The Washington Post_. July 22, 2016.
257.   ^ _**a**_ _**b**_"Editor's Notebook: R-M not endorsing for Nov. 8 election". Archived from the original on 2016-10-14. Retrieved 2019-01-17.
258.   **^**"Hillary Clinton's experience makes her the right choice for president".
259.   **^**"Presidential endorsements from McClatchy's newspapers". _idahostatesman_.
260.   **^**"Experience, temperament make Clinton our choice". Archived from the original on October 15, 2016.
261.   **^**"Gazette endorsement: Hillary Clinton for president".
262.   **^**"Daily Mail endorsement: Write in Evan McMullin for president". _Charleston Gazette-Mail_. 5 November 2016.
263.   ^ _**a**_ _**b**_"Here is the latest update on newspaper endorsements for president". _Daily Kos_. Retrieved October 15, 2016.
264.   **^**"Vote for Hillary Clinton for president". _Jersey Journal_.
265.   ^ _**a**_ _**b**_ _**c**_"Barack Obama: The Star-Ledger editorial board's pick for president". _NJ.com_. 21 October 2012.
266.   **^**"Our View: Best choice for president?".
267.   **^**"The Miami Herald recommends Hillary Clinton for president of the United States".
268.   **^**Bustos, Sergio (October 26, 2012). "Miami Herald recommends President Barack Obama over Mitt Romney". _Miami Herald_.
269.   **^**"Democrat and Chronicle endorses Hillary Clinton".
270.   **^**Bennett, Kitty; Corasaniti, Nick; Kueneman, Rew; Volpe, Paul; Williams, Josh. "Newspaper Endorsements From Across the Nation". _The New York Times_.
271.   **^**"Endorsement: Hillary Clinton should be our next president".
272.   **^**"Oregon Newspaper Publishers Association". _orenews.com_.
273.   **^**"Editorial: Barack Obama for president". _The Daily Astorian_. October 18, 2012.
274.   **^**"In an ugly election, the choice is clear: Hillary Clinton for President". _The Kansas City Star_.
275.   **^**"Keep President Obama in the White House". _The Kansas City Star_. October 27, 2012. Archived from the original on October 29, 2012. Retrieved October 27, 2012.
276.   **^**"Hillary Clinton for president: Orlando Sentinel endorsement 2016". _Orlando Sentinel_.
277.   **^**"Florida Press Association". _www.flpress.com_. Archived from the original on 2016-11-01. Retrieved 2019-01-17.
278.   **^**"Our pick for president: Romney". _The Orlando Sentinel_. October 18, 2012. Retrieved October 27, 2012.
279.   **^**"Why we won't endorse a presidential candidate: Editorial Endorsement 2016".
280.   **^**"Editorial: Trump comments make Clinton only option for President".
281.   **^**"Clinton is the clear choice for president".
282.   **^**"Re-elect President Obama". _Lexington Herald-Leader_. October 28, 2012. Retrieved October 28, 2012.
283.   **^**"Trump's multiple shortcomings make him a poor candidate for president".
284.   **^**"Editorial: Vote, and say 'good riddance'".
285.   **^**"York's Newspapers – God and Darwin: The York Daily Record and the Intelligent Design Trial".
286.   **^**"La opción es clara: Hillary Clinton para la presidencia de EEUU". _El Nuevo Herald_ (in Spanish). Miami, Florida: The McClatchy Company. October 14, 2016. Retrieved October 23, 2016.
287.   **^**"McClatchy | Markets". _www.mcclatchy.com_.
288.   **^**Gómez Mompart, Josep Lluís (2014). "The importance of the Hispanic press: the victory of Obama in newspapers in Spanish in the United States". _Communication & Society_ (in Spanish). **27** (2). Pamplona: University of Navarra. Retrieved October 23, 2016.
289.   **^**"Hillary Clinton is imperfect but the only choice for president: Editorial". Archived from the original on October 17, 2016.
290.   **^**"Endorsement: Clinton is clear choice for president".
291.   **^**"Editorial: Hillary Clinton for president".
292.   **^**"Why Obama should be re-elected". _The Providence Journal_. October 28, 2012. Archived from the original on October 30, 2012. Retrieved October 15, 2016.`{{cite news}}`: CS1 maint: bot: original URL status unknown (link)
293.   **^**"Register's endorsement: Clinton a vote for American values". _Des Moines Register_. Retrieved October 18, 2016.
294.   **^**"Our pick for president: Romney". _The Des Moines Register_. October 28, 2012. Archived from the original on October 29, 2012. Retrieved October 27, 2012.
295.   **^**"Clinton has the resume for the job of president".
296.   **^**"Editorial: For U.S. president: Trump unfit, Clinton by default". _Peoria Journal-Star_. October 15, 2016.
297.   **^**"Editorial: Hillary Clinton is prudent pick for president". _Omaha World-Herald_.
298.   **^**"Our pick for president: Romney". _Omaha World-Herald_. October 7, 2012. Archived from the original on October 8, 2012. Retrieved October 27, 2012.
299.   **^**"RDR opts out of endorsements". _rdrnews.com_. Roswell Daily Record. Archived from the original on October 18, 2016.
300.   **^**"Our View: For president, Hillary Clinton". _The Santa Fe New Mexican_.
301.   **^**"Time to make your choice". _The Santa Fe New Mexican_. 5 November 2012.
302.   **^**"Editorial: Clinton clearly better choice for president". _Herald Bulletin_. 16 October 2016. Retrieved October 18, 2016.
303.   **^**"In review: The Herald Bulletin's endorsements for Tuesday's election". _Herald Bulletin_. 5 November 2012.
304.   **^**"Our view: Our struggles with Trump candidacy". _Midland Daily News_. Retrieved October 18, 2016.
305.   **^**"LMT names endorsements for November election". _Midland Daily News_. November 2012.
306.   **^**"Editorial: Hillary Clinton has the resume for the job of president". _Longmont Times-Call_. Retrieved October 18, 2016.
307.   **^**"Romney best suited for President". _timescall.com_. 12 October 2012.
308.   **^**"Hillary Clinton should be our next president". _modbee_.
309.   **^**"Only one candidate is acceptable for president". _www.adirondackdailyenterprise.com_. Adirondack Daily Enterprise.
310.   **^**"2015 media kit"(PDF). Archived from the original(PDF) on 2016-01-15. Retrieved 2019-01-17.
311.   **^**"Editorial: Clinton is right choice for president". _Concord Monitor_. Retrieved October 18, 2016.
312.   **^**Cliff Whitt Nationwide Newspapers. "Concord New Hampshire "Concord Monitor" Daily Newspaper".
313.   **^**"Editorial: Hillary Clinton for president". _The Bulletin_.
314.   **^**"Editorial: Bulletin endorsements summary". _The Bulletin_. Archived from the original on 2019-01-19. Retrieved 2019-01-17.
315.   **^**"Clinton is best candidate for president". _fosters.com_.[_permanent dead link_]
316.   **^**"Gatehouse Media» Portsmouth Herald". _www.gatehousemedia.com_. Archived from the original on 2016-10-31. Retrieved 2019-01-17.
317.   ^ _**a**_ _**b**_ Blades, Meteor (October 27, 2012). "Here's another update of newspaper endorsements for president". _Daily Kos_. Retrieved October 22, 2016.
318.   **^**"Editorial | Clinton the cleanest choice". _The Courier-Journal_. Retrieved October 18, 2016.
319.   **^**"Barack Obama for President of United States". _Courier Journal_. Newspapers.com. p.H2. Retrieved October 18, 2016.
320.   **^**"Our Endorsement: Hillary Clinton. America must get this right". _madison.com_.
321.   **^**"Our pick: Mitt Romney". _Madison.com_.
322.   **^**"Clinton, without hesitation". _The News Leader_. Retrieved October 18, 2016.
323.   **^**"In Our View: Clinton for President". _The Columbian_. October 16, 2016.
324.   **^**"Editorial: Clinton is the better choice for president". _pantagraph.com_.
325.   **^**"Editorial: Romney is better choice to solve biggest problems". _pantagraph.com_.
326.   **^**"Our Views: Trump unfit for president; Clinton is better choice". _Herald-Review.com_.
327.   **^**"Whoever wins must address the issues". _Herald-Review.com_.
328.   **^**"Hillary Clinton is the only real choice for president". _SentinelSource.com_.
329.   **^**"Barack Obama is a steady leader with an inclusive vision". _SentinelSource.com_.
330.   **^**"Our choice for President: Hillary Rodham Clinton (editorial)". _silive.com_.
331.   **^**"Staten Island Advance endorses Barack Obama for president". _SILive.com_.
332.   **^**"On Nov. 8, good of the country must come first". _newsok.com_.
333.   **^**"Endorsement: We fear this presidential election". _poststar.com_.
334.   **^**"Clinton — but mostly, not Trump". _pregisterguard.com_.[_permanent dead link_]
335.   **^**"We Endorse: Hillary Clinton for president". _kenoshanews.com_. Archived from the original on 2017-05-07. Retrieved 2019-01-17.
336.   **^**"Gazette opinion: Why Montanans should pick Clinton". _Billings Gazette_.
337.   **^**"Gazette opinion: Romney offers new leadership America needs". _Billings Gazette_. October 10, 2012. Retrieved October 24, 2012.
338.   **^**"Here's why the Free Press will not be endorsing any of the presidential candidates". _Chattanooga Times Free Press_.
339.   **^**"Vote Hillary Clinton for president". _Chattanooga Times Free Press_.
340.   **^**"Gary Johnson for president". _Chattanooga Times Free Press_. October 10, 2012. Retrieved October 24, 2012.
341.   **^**"A race to the finish". _Chattanooga Times Free Press_. November 6, 2012. Retrieved November 5, 2016.
342.   **^**"Trump and GOP offer best hope to lead America". _St. Joseph News-Press and FOX 26 KNPN_. Archived from the original on October 28, 2016. Retrieved October 17, 2016.
343.   **^**"Romney: Best choice for nation". _St. Joseph News-Press_. Retrieved October 27, 2012.
344.   **^**"Endorsement: U.S. President: No endorsement". _Northwest Herald_. Archived from the original on 2016-10-18. Retrieved 2019-01-17.
345.   **^**"IHSA Illinois Daily Newspapers". _www.ihsa.org_.
346.   **^**"Our View: Endorsement roundup". _Northwest Herald_. Archived from the original on 2016-10-18. Retrieved 2019-01-17.
347.   **^**"Who do we believe in?". _Pueblo Chieftain_. Archived from the original on October 18, 2016. Retrieved October 18, 2016.
348.   **^**Wyatt, Jayde. "#comMITTed: Colorado Newspaper Pueblo Chieftain: "It's Romney"". _Mitt Romney Central_. Archived from the original on October 16, 2012. Retrieved October 18, 2016.
349.   **^**"Hillary Clinton is best fit to be president". _starbeacon.com_.
350.   **^**"Media's job is to help voters make informed choices, not choose for them". _Press of Atlantic City_.
351.   **^**"Clinton is prepared, qualified to be our next president". _The Herald_.
352.   **^**"Our View: We won't tell you for whom to vote, but cast your ballots". _The Herald_.
353.   **^**"Editorial: Hillary Clinton has the resume for the job of president".
354.   **^**"Hillary Clinton should be our next president". _mercedsunstar_.
355.   **^**"WDL: Trump for POTUS". _waxahachietx.com_. Archived from the original on 2016-10-20. Retrieved 2019-01-17.
356.   **^**"Editorial: Choosing a president in a contentious election year". _www.lancasteronline.com_.
357.   ^ _**a**_ _**b**_"2012 General Election Editorial Endorsements by Major Newspapers: Top 100 Newspapers Based on Daily Circulation". _The American Presidency Project_. Retrieved October 18, 2016.
358.   ^ _**a**_ _**b**_"The case for Obama (Intelligencer Journal)". _Intelligencer Journal/Lancaster New Era_. November 2, 2012. Archived from the original on February 17, 2013. Retrieved October 18, 2016.`{{cite news}}`: CS1 maint: bot: original URL status unknown (link)
359.   **^**"Romney promises real change (New Era)". _Intelligencer Journal/Lancaster New Era_. November 2, 2012. Archived from the original on May 15, 2013. Retrieved October 18, 2016.`{{cite news}}`: CS1 maint: bot: original URL status unknown (link)
360.   **^**"La Opinión Endorses Hillary Clinton". Archived from the original on 2016-10-19. Retrieved 2019-01-17.
361.   ^ _**a**_ _**b**_"Hispanic news media: Daily newspaper circulation". _Pew Research Center's Journalism Project_. June 13, 2016. Retrieved October 31, 2016.
362.   **^**"La Opinion: Obama offers a better vision for the future for everyone in U.S". _Occasional Planet_. October 26, 2012.
363.   **^**"Trump isn't kind of change nation needs". _Union Bulletin_.
364.   **^**"Editorial: For president, we cannot endorse anybody". _Chico Enterprise-Record_. NorCal Community Media. October 19, 2016. Retrieved October 20, 2016.
365.   **^**Emerson, Xavier. "Echo Media V3 Print Media Experts". _Echo Media V3_.
366.   **^**"Editorial: Romney the best hope for change".
367.   **^**"Editorial: For president, we cannot endorse anybody". _Oroville Mercury-Register_. NorCal Community Media. October 19, 2016. Retrieved October 20, 2016.
368.   **^**"Echo Media V3 Print Media Experts". _Echo Media V3_. Retrieved October 31, 2016.
369.   **^**"Editorial: Romney the best hope for change". _Oroville Mercury-Register_. October 30, 2012. Archived from the original on October 21, 2016. Retrieved October 20, 2016.
370.   **^**"El Diario Endorses Hillary Clinton for President of the United States". _El Diario NY_ (in Spanish). October 17, 2016.
371.   **^**"None of the above for president". _bostonherald.com_.
372.   **^**"Boston Herald Market".
373.   **^**"Editorial board: Say no to Trump". _Fort Worth Star-Telegram_. October 21, 2016.
374.   **^**"Inquirer Editorial: Clinton easily the best candidate for president". _The Philadelphia Inquirer_. October 21, 2016.
375.   **^**"Hillary Clinton should be our next president". _newsday.com_. October 21, 2016. Retrieved October 21, 2016.
376.   **^**"For country's sake, Clinton, by default". _poughkeepsiejournal_.
377.   **^**"Editorial: In battle for America's soul, Hillary Clinton is our pick". _The San Jose Mercury News_. October 21, 2016.
378.   **^**"Our view: Clinton the only choice for president". _eastoregonian_.
379.   **^**"EO Media Group East Oregonian – EO Jobs with Part-Time, Telecommuting, or Flexible Working". _www.flexjobs.com_. Retrieved October 22, 2016.
380.   **^**"What We Think: No endorsement for unpresidential hopefuls". _SaukValley.com_. Archived from the original on 2016-10-23. Retrieved 2019-01-17.
381.   ^ _**a**_ _**b**_"About Us". _SaukValley.com_. Archived from the original on 2016-10-26. Retrieved 2019-01-17.
382.   ^ _**a**_ _**b**_ _**c**_"Downstate Newspapers Diss Obama, Endorse Mitt". _NBC Chicago_.
383.   **^**"Editorial: America deserves better in presidential race". _The Herald-Dispatch_.
384.   **^**Cliff Whitt Nationwide Newspapers. "Huntington West Virginia's "The Herald Dispatch" Daily Newspaper". _Nationwide Newspapers Advertising_.
385.   **^**"Adkisson: To endorse or not to endorse?". _The Sentinel_.
386.   **^**"Our View: Endorsements". _The Times-Gazette_. Hillsboro, Ohio: Ohio Community Media. October 21, 2016. Retrieved October 24, 2016.
387.   **^**"Hillsboro Times Gazette". Echo Media. Retrieved October 24, 2016.
388.   **^**"Editorial: Get out and vote, and vote for Hillary Clinton". Retrieved November 1, 2016.
389.   ^ _**a**_ _**b**_"Bay Area News Group Merging Six Daily Newspapers Into Two Publications".
390.   **^**"Contra Costa Times editorial: Obama is the best choice for a difficult job – East Bay Times".
391.   **^**"Oakland Tribune editorial: Obama best choice for difficult job – East Bay Times".
392.   **^**"Endorsement: Clinton the best and only choice". _Iowa City Press-Citizen_.
393.   **^**"Iowa City Press-Citizen Endorses President Obama". _2012 Presidential Campaign Blog_.
394.   **^**"Endorsement: Donald Trump is unfit, Hillary Clinton for president". _dailyherald.com_. October 22, 2016. Retrieved October 22, 2016.
395.   **^**"Circulation – Daily Herald Newspaper Print". Archived from the original on 2016-10-20. Retrieved 2019-01-17.
396.   **^**"We endorse: Hillary Clinton stands as only reasonable choice for president". _thenewstribune.com_. October 22, 2016. Retrieved October 22, 2016.
397.   **^**"Star Tribune Editorial Board endorsement: Hillary Clinton for president". _startribune.com_. October 22, 2016. Retrieved October 22, 2016.
398.   **^**"Our View: Choosing in a year of unpleasant choices". _rrstar.com_. October 22, 2016. Retrieved October 22, 2016.
399.   **^**Haas, Wally. "Election 2012: Register Star endorsement scorecard is 13-7". _Rockford Register Star_.
400.   **^**"Editorial: Why we can't endorse Donald Trump or Hillary Clinton for President of the United States".
401.   **^**Emerson, Xavier. "Echo Media V3 Print Media Experts". _Echo Media V3_.
402.   **^**"Editorial Endorsement: Mitt Romney for President".
403.   **^**"Our Opinion: With poor choices, Clinton gets nod for president". _The State Journal-Register_. October 22, 2016.
404.   **^**Heisse, Bob. "Bob Heisse: Endorsements and continuing election coverage". _The State Journal_.
405.   **^**"Donald Trump for president". _The Las Vegas Review-Journal_. October 22, 2016.
406.   **^**"For president: Mitt Romney". _The Las Vegas Review-Journal_. October 7, 2012.
407.   **^**Ember, Sydney (May 22, 2016). "In Sheldon Adelson's Newsroom, Looser Purse Strings and a Tighter Leash". _The New York Times_.
408.   **^**Smilowitz, Elliot (May 14, 2016). "Adelson willing to donate $100 million to Trump: report". _TheHill_. Retrieved October 25, 2016.
409.   **^**"Our View: Clinton has experience, knowledge to lead country". _The Bulletin_.
410.   **^**"On presidency, vote your values". _The Bradenton Herald_. Bradenton, Florida: The McClatchy Company. October 22, 2016. Retrieved October 23, 2016.
411.   **^**"Presidential endorsements from McClatchy's newspapers". _McClatchy DC_. The McClatchy Company. October 26, 2012. Retrieved October 23, 2016.
412.   **^**"Eager for change? Don't vote for Clinton". _www.advertiser-tribune.com_.
413.   **^**Emerson, Xavier. "Echo Media V3 Print Media Experts". _Echo Media V3_.
414.   **^**"Editorial, 10/23: Clinton is best choice for president". _Lincoln Journal Star_. Lincoln, Nebraska: Lee Enterprises. October 23, 2016. Retrieved October 23, 2016.
415.   **^**"Editorial, 10/14: Obama best for middle class". _Lincoln Journal Star_. Lincoln, Nebraska: Lee Enterprises. October 14, 2012. Retrieved October 23, 2016.
416.   **^**"Our Opinion: Clinton for president". _Greensboro News & Record_.
417.   **^**"Presidential endorsement: Clinton is the only option for president". _The Quad-City Times_.
418.   **^**"Our presidential endorsement: Ready for change". _The Quad-City Times_.
419.   **^**"Clinton is the better choice". _Decatur Daily_.
420.   **^**Cliff Whitt Nationwide Newspapers. "Decatur Alabama's "The Decatur Daily" Daily Newspaper". _Nationwide Newspapers Advertising_.
421.   **^**"Editorial: Don't let presidential race keep you from voting". _carrollcountytimes.com_.
