Title: Daily newspaper endorsements in the 2016 United States presidential election

URL Source: https://en.wikipedia.org/wiki/Daily_newspaper_endorsements_in_the_2016_United_States_presidential_election

Published Time: 2019-01-17T22:18:15Z

Markdown Content:
From Wikipedia, the free encyclopedia

Various notable daily newspapers made endorsements of candidates in the 2016 United States presidential election, as follows. The table below indicates which candidate each publication endorsed in the 2012 United States presidential election and includes only endorsements for the general election.

### Summary of daily newspapers

[edit]

| Candidate | Endorsements | Breakdown by 2012 endorsement |
| --- | --- | --- |
| Hillary Clinton | 244 | 100 Barack Obama; 47 Mitt Romney; 19 no endorsement; 1 split endorsement; 76 undetermined |
| No endorsement | 65 | 38 Mitt Romney; 2 Barack Obama; 2 no endorsement; 11 undetermined |
| Donald Trump | 20 | 14 Mitt Romney; 6 undetermined |
| Gary Johnson | 9 | 2 Barack Obama; 5 Mitt Romney; 2 undetermined |
| Not Donald Trump | 8 | 2 Mitt Romney; 1 Barack Obama; 4 no endorsement; 1 undetermined |
| Split endorsement | 2 | 2 split endorsement |
| Evan McMullin | 1 | 1 undetermined |
| Not Hillary Clinton | 1 | 1 undetermined |

### Endorsements by daily newspapers

[edit]

| Newspaper | 2016 endorsement | Largest reported circulation | Endorsement date | City | State | 2012 endorsement | Notes |
| _The Bulletin_[315] | Hillary Clinton | 25,531[16] | October 16 | Bend | Oregon | Mitt Romney[316] |  |
| _Foster's Daily Democrat_[317] | Hillary Clinton | 16,235[318] | October 16 | Dover | New Hampshire | Mitt Romney[319] | [bs] |
| _The Courier-Journal_[320] | Hillary Clinton | 202,164[48] | October 16 | Louisville | Kentucky | Barack Obama[321] |  |
| _Wisconsin State Journal_[322] | Hillary Clinton | 91,043[16] | October 16 | Madison | Wisconsin | Mitt Romney[323] |  |
| _The News Leader_[324] | Hillary Clinton | 15,605[23] | October 16 | Staunton | Virginia | Barack Obama[69] |  |
| _The Columbian_[325] | Hillary Clinton | 31,496[16] | October 16 | Vancouver | Washington | Mitt Romney[69] |  |
| _The Pantagraph_[326] | Hillary Clinton | 32,762[16] | October 16 | Bloomington-Normal | Illinois | Mitt Romney[327] | [bt] |
| _Herald & Review_[328] | Hillary Clinton | 37,536[16] | October 16 | Decatur | Illinois | Mitt Romney[329] | [bt] |
| _The Keene Sentinel_[330] | Hillary Clinton | 9,602[16] | October 16 | Keene | New Hampshire | Barack Obama[331] |  |
| _Staten Island Advance_[332] | Hillary Clinton | 36,783[16] | October 16 | Staten Island | New York | Barack Obama[333] |  |
| _The Oklahoman_[334] | No endorsement | 151,987[16] | October 16 | Oklahoma City | Oklahoma | Mitt Romney[69] |  |
| _The Post-Star_[335] | Hillary Clinton | 26,257[16] | October 16 | Glens Falls | New York | Barack Obama[248] |  |
| _The Register-Guard_[336] | Hillary Clinton | 49,740[16] | October 16 | Eugene | Oregon | Barack Obama[69] |  |
| _Kenosha News_[337] | Hillary Clinton | 22,353[16] | October 16 | Kenosha | Wisconsin |  |  |
| _Billings Gazette_[338] | Hillary Clinton | 34,828[16] | October 16 | Billings | Montana | Mitt Romney[339] |  |
| _Chattanooga Times Free Press_[340][341] | Split endorsement | 73,525[16] | October 16 | Chattanooga | Tennessee | Split endorsement[342][343] | [bu] |
| _St. Joseph News-Press_[344] | Donald Trump | 24,681[16] | October 16 | St. Joseph | Missouri | Mitt Romney[345] | [bv] |
| _Northwest Herald_[346] | No endorsement | 38,000[347] | October 16 | Crystal Lake | Illinois | Mitt Romney[348] |  |
| _The Pueblo Chieftain_[349] | No endorsement | 35,393[16] | October 16 | Pueblo | Colorado | Mitt Romney[350] |  |
| _Star Beacon_[351] | Hillary Clinton | 12,241[16] | October 16 | Ashtabula | Ohio |  |  |
| _The Press of Atlantic City_[352] | No endorsement | 63,824[205] | October 16 | Atlantic City | New Jersey |  |  |
| _The Herald_[353] | Hillary Clinton | 14,855[16] | October 16 | Sharon | Pennsylvania | No endorsement[354] |  |
| _Canon City Daily Record_[355] | Hillary Clinton | 3,433[16] | October 16 | Canon City | Colorado | Mitt Romney[69] | [bw] |
| _Merced Sun-Star_[356] | Hillary Clinton | 13,261[16] | October 17 | Merced | California |  |  |
| _Waxahachie Daily Light_[357] | Donald Trump | 3,191[16] | October 17 | Waxahachie | Texas |  |  |
| _LNP_[358] | Hillary Clinton | 80,220[16] | October 18 | Lancaster | Pennsylvania | Split endorsement[359][360] | [bx] |
| _La Opinión_[362] | Hillary Clinton | 49,953[363] | October 18 | Los Angeles | California | Barack Obama[364] |  |
