Title: Decisions

URL Source: https://www.asbca.mil/Decisions/

Markdown Content:
| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| September |  |  |  |
| March 26, 2025 | 63444 | Vectrus Systems Corporation | Smith |
| March 26, 2025 | 63677-ADR | Rolls-Royce Corporation | McLish |
| March 26, 2025 | 64040 | KIRA LLC | Thrasher |
| March 24, 2025 | 63869 | Conrad Shipyard, LLC | Melnick |
| March 24, 2025 | 63794 | HD Inc. | Witwer |
| March 24, 2025 | 62980 | KiewitPhelps | Eyester |
| March 24, 2025 | 62096, 62104 | The Minesen Company | Cates-Harman |
| March 24, 2025 | 62009, 62010, 62076 | Arcade Travel, Inc. d/b/a Boersma Travel Services | Woodrow |
| March 14, 2025 | 63475, 63810 | Chugach Federal Solutions, Inc. | D'Alessandris |
| March 14, 2025 | 63946 | Laurel Technologies Partnership d/b/a DRS Laurel Technologies | Thrasher |
| March 12, 2025 | 64071 | Patriot Property Services, LLC | Thrasher |
| March 12, 2025 | 63970 | Government Training LLC | Eyester |
| March 12, 2025 | 63916 | Nanka Construction Company | Thrasher |
| March 11, 2025 | 63570-ADR, 63602-ADR | Bristol Design Build Services, LLC | Arnett |
| March 11, 2025 | 63521, 63522 | MTS General Trading & Construction | Arnett |
| March 10, 2025 | 63837 | Direct Steel, LLC | McLish |
| March 10, 2025 | 61691 | Doubleshot, Inc. | O'Connell |
| March 6, 2025 | 60498 | David Boland, Inc. | Cates-Harman |
| March 6, 2025 | 59986, 61092, 61693, 61996 | Advanced Technologies Group, Inc. | Prouty |
| March 5, 2025 | 61785 | General Atomics Aeronautical Systems, Inc. | Wilson |
| February |  |  |  |
| February 26, 2025 | 64050 | Brass Construction, LLC | Thrasher |
| February 26, 2025 | 64015 | Xerox Corporation | Thrasher |
| February 26, 2025 | 62201-QUAN | AICI-Archirodon JV | Osterhout |
| February 25, 2025 | 63792 | AECOM Construction, Inc. | Woodrow |
| February 24, 2025 | 64021 | JML Logistics LLC | Thrasher |
| February 24, 2025 | 61922, 62509 | Fuel Tank Maintenance Company, LLC | Thrasher |
| February 21, 2025 | 63968 | Phoenix Management, Inc. | Sweet |
| February 20, 2025 | 64018 | Xerox Corporation | Thrasher |
| February 20, 2025 | 63895 | CSI Construction Co. Inc. | Cates-Harman |
| February 20, 2025 | 63807-ADR | MSI II LLC, Joint Venture | Arnett |
| February 19, 2025 | 62716, 62717 | Teledyne Scientific & Imaging, LLC | Page |
| February 19, 2025 | 61989 | Maverick Constructors, LLC | Wilson |
| February 19, 2025 | 62712, 62713, 62877 | Chugach Federal Solutions, Inc. | Melnick |
| February 19, 2025 | 63796 | Envistacom, LLC | Melnick |
| February 14, 2025 | 64033-PET | Relyant Global LLC | Wilson |
| February 13, 2025 | 61543 | Fluor Federal Solutions, Inc. | D'Alessandris |
| February 13, 2025 | 63705, 63723 | Phylway Construction, LLC | O'Connell |
| February 12, 2025 | 63430 | IVA'AL Solutions, LLC | D'Alessandris |
| February 12, 2025 | 60373-ADR | The Boeing Company | D'Alessandris |
| February 10, 2025 | 62681, 62843, 62844 | Kellogg Brown & Root Services, Inc. | Herzfeld |
| February 10, 2025 | 63841 | Granite Telecommunications, LLC | Wilson |
| February 6, 2025 | 63807-ADR | MSI II LLC, Joint Venture | Arnett |
| February 3, 2025 | 63858-ADR | Manhattan Construction Company | Cates-Harman |
| February 3, 2025 | 60282-ADR, 60165-ADR | ECC International LLC | Taylor |
| January |  |  |  |
| January 31, 2025 | 63300-ADR, 63495-ADR | Tridentis, LLC | Arnett |
| January 30, 2025 | 63529-ADR | 22nd Century Technologies, Inc. | Witwer |
| January 30, 2025 | 63738 | Sauer Construction, LLC | Sweet |
| January 29, 2025 | 62226, 62271, 62272 | St. Michael's Inc. | Smith |
| January 28, 2025 | 63889 | Dari Concepts, LLC | Witwer |
| January 28, 2025 | 63815 | Cobeal Consulting Group | Wilson |
| January 28, 2025 | 63454 | CJW Contractors, Inc. | Eyester |
| January 28, 2025 | 62343-QUAN | Fluor Federal Solutions, LLC | Witwer |
| January 24, 2025 | 63711, 63712 | Jacobs Technology Inc. | Thrasher |
| January 23, 2025 | 63566, 63567, 63568, 63569 | Afghan Union Transportation and Logistic Co. | Sweet |
| January 23, 2025 | 63914 | Kinsley Construction, Inc. | Thrasher |
| January 23, 2025 | 64035 | ASRC Communications, Ltd. | Thrasher |
