Title: Decisions

URL Source: https://www.asbca.mil/Decisions/

Markdown Content:
| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| September |  |  |  |
| May 20, 2010 | Job Options, Inc. | Peacock |
| May 6, 2010 | Whiting-Turner Contracting Company | Younger |
| May 6, 2010 | Versar, Inc. | Scott |
| May 6, 2010 | Inchcape Shipping Services | Scott |
| April |  |  |
| April 30, 2010 | AST Anlagen-und Sanierungstechnik GmbH | Paul |
| April 26, 2010 | Lasmer Industries, Inc. | Freeman |
| April 22, 2010 | Hanley Industries, Inc. | Stempler |
| April 22, 2010 | PGDC/Teng Joint Venture | Delman |
| April 22, 2010 | Starwin Industries, Inc. | Dickinson |
| April 15, 2010 | Dixie Construction Company, Inc. | Scott |
| April 12, 2010 | Pacific Coast Community Services, Inc. | Younger |
| April 7, 2010 | Yonir Technologies, Inc. | Ting |
| April 5, 2010 | SUFI Network Services, Inc. | James |
| April 5, 2010 | Guy W. Parker d/b/a Parker International | Freeman |
| March |  |  |
| March 17, 2010 | Palm Springs General Trading and Contracting Establishment | Ting |
| March 16, 2010 | Solid State Electronics Corporation | Van Broekhoven |
| March 15, 2010 | States Roofing Corporation | Park-Conroy |
| March 15, 2010 | Ingenium Corporation | Delman |
| March 12, 2010 | HMR Tech2, LLC | Scott |
| March 10, 2010 | Al-Dhiyaa Bureau for General Contracting | Shackleford |
| March 10, 2010 | Skanska US Building, Inc. | Peacock |
| February |  |  |
| February 19, 2010 | Laser Manufacturing, Inc. | Tunks |
| February 19, 2010 | Bernard Cap Company, Inc. | Delman |
| February 17, 2010 | American Ordnance, LLC | Page |
| February 17, 2010 | Weis Builders, Inc. | Tunks |
| February 1, 2010 | Todd Pacific Shipyards Corporation | Scott |
| January |  |  |
| January 28, 2010 | Wimberly, Allison, Tong & Goo | Younger |
| January 25, 2010 | Symbion Ozdil Joint Venture | James |
| January 22, 2010 | UniTech Services Group, Inc. | Thomas |
| January 22, 2010 | Free & Ben, Inc. | Ting |
| January 19, 2010 | States Roofing Corporation | Park-Conroy |
| January 12, 2010 | MACH II | Stempler |
| January 12, 2010 | States Roofing Corporation | Park-Conroy |
| January 11, 2010 | Rahil Exports | Stempler |
| January 7, 2010 | Smoke Blotter, Inc. | Freeman |
| January 5, 2010 | Clark Construction Company | Tunks |
| January 5, 2010 | ZIOS Corporation | Scott |

| Decision Date | Appellant/Petitioner | Judge |
| --- | --- | --- |
| December |  |  |
| December 31, 2009 | COSTAR III, LLC | Paul |
| December 28, 2009 | Unconventional Concepts, Inc. | James |
| December 22, 2009 | Free & Ben, Inc. | Ting |
| December 16, 2009 | Mark O'Connor | Tunks |
| December 16, 2009 | R.L. Bates General Contractor Paving & Associates, Inc. | Freeman |
| December 14, 2009 | SUFI Network Services, Inc. | James |
| December 11, 2009 | Corners and Edges, Inc. | Delman |
| December 7, 2009 | Bruce E. Zoeller | Delman |
| December 2, 2009 | McDonnell Douglas Services, Inc. | Scott |
| November |  |  |
| November 20, 2009 | WEDJ.Three C's, Inc. | Dickinson |
| November 13, 2009 | Coronet Machinery Corp. | Wilson |
| November 5, 2009 | Parsons-UXB Joint Venture | Thomas |
| November 4, 2009 | Red River Holdings, LLC | James |
| November 3, 2009 | HGI Skydyne | Ting |
| October |  |  |
| October 30, 2009 | Kostmayer Contruction, LLC | Peacock |
| October 29, 2009 | Wimberly, Allison, Tong & Goo, Inc. | Younger |
| October 28, 2009 | AshBritt, Inc. | Scott |
| October 26, 2009 | KBJ Architects, Inc. | Younger |
| October 26, 2009 | Hamilton Acquisition Corp. t/a Stallings Group | Dickinson |
| October 16, 2009 | BearingPoint, Inc. | Younger |
| October 14, 2009 | DTS Aviation Services, Inc. | Delman |
| October 9, 2009 | HMR TECH2, LLC | Scott |
| October 7, 2009 | Montage, Inc. | Wilson |
| October 1, 2009 | Yardney Technical Products, Inc. | James |
| September |  |  |
| September 28, 2009 | AshBritt, Inc. | Scott |
| September 25, 2009 | Public Warehousing Company, K.S.C. | Ting |
| September 25, 2009 | Public Warehousing Company, K.S.C. | Ting |
| September 24, 2009 | AEON Group, LLC | Dickinson |
| September 24, 2009 | American Turbo Systems, Inc. | Delman |
| September 24, 2009 | Computer Sciences Corporation | Park-Conroy |
| September 21, 2009 | Guy W. Parker d/b/a Parker International | Freeman |
| September 15, 2009 | Vibration and Sound Solutions Limited | Shackleford |
| August |  |  |
| August 20, 2009 | General Dynamics C4 Systems, Inc. | Scott |
| August 19, 2009 | Gosselin World Wide Moving NV | Scott |
| August 13, 2009 | Steve Allen Fiamengo, MD | James |
| August 13, 2009 | Commwise, Inc. Joseph Wetzel d/b/a Avetel | Stempler |
| August 13, 2009 | Madison Lawrence, Inc. | Scott |
| August 10, 2009 | Packard Construction Corporation | Delman |
| August 6, 2009 | Mil-Spec Industries Corp. | James |
| August 3, 2009 | MACH II | Stempler |
| July |  |  |
| July 24, 2009 | Chum Hooper T/A Eye4Sports | Stempler |
| July 23, 2009 | Sinil Co., Ltd. | Ting |
| July 23, 2009 | Computer Sciences Corporation | Park-Conroy |
| July 23, 2009 | FitNet International Corp. | Freeman |
| July 16, 2009 | Recon Optical, Inc. | Freeman |
| July 16, 2009 | Pinnacle Armor, Inc. | Freeman |
| July 15, 2009 | SUFI Network Services, Inc. | James |
| July 9, 2009 | ADT Construction Group, Inc. | Shackleford |
| July 2, 2009 | KAMP Systems, Inc. | Scott |
| June |  |  |
| June 30, 2009 | American Renovation and Construction Company | Tunks |
| June 25, 2009 | Jurass Company | Peacock |
| June 18, 2009 | Dick Pacific/GHEMM,JV | Scott |
| June 16, 2009 | HSG Technischer Service GmbH | Peacock |
| June 15, 2009 | M.E.S., Inc. | Wilson |
| June 15, 2009 | Computer Sciences Corporation | Park-Conroy |
| June 12, 2009 | Corners and Edges, Inc. | Delman |
| June 10, 2009 | DMJM H&N, Inc. | Stempler |
| June 8, 2009 | Advanced American Construction, Inc. | Williams |
| June 4, 2009 | Robinson Quality Constructors | Ting |
| June 4, 2009 | Emergency Pest Control Services | Paul |
| May |  |  |
| May 28, 2009 | Local Communications Network, Inc. | Freeman |
| May 27, 2009 | Derm/Buro, Inc. | Peacock |
| May 21, 2009 | L-3 Services, Inc., Unidyne Division | Delman |
| May 18, 2009 | Systore Companies, Inc. d/b/a Advanced Communications Systems | Freeman |
| May 8, 2009 | General Dynamics C4 Systems, Inc. | Scott |
| May 5, 2009 | States Roofing Corporation | Park-Conroy |
| May 4, 2009 | DLT Solutions, Inc. | James |
| April |  |  |
| April 28, 2009 | L.S. Womack, Inc. | Younger |
| April 24, 2009 | GAP Instrument Corporation | Freeman |
| April 23, 2009 | New Era Contract Sales, Inc. | Dickinson |
| April 20, 2009 | Keystone Capital Services | Williams |
| April 15, 2009 | Trace, Inc. | Van Broekhoven |
| April 14, 2009 | Free & Ben, Inc. | Ting |
| April 9, 2009 | George G. Sharp, Inc. | James |
| April 9, 2009 | ATK Launch Systems, Inc. | Delman |
| April 7, 2009 | Southwest Marine, Inc. | Thomas |
| April 1, 2009 | Lasmer Industries, Inc. | Freeman |
| March |  |  |
| March 20, 2009 | Recon Optical, Inc. | Freeman |
| March 18, 2009 | Keller Mechanical Services, Inc. | James |
| March 9, 2009 | D & F Marketing, Inc. | Dickinson |
| March 5, 2009 | Ironhorse Ltd. | Ting |
| March 5, 2009 | Freedom NY, Inc. | James |
| March 4, 2009 | States Roofing Corporation | Park-Conroy |
| February |  |  |
| February 24, 2009 | Bath Iron Works Corp. | James |
| February 23, 2009 | Sundt Construction, Inc. | Wilson |
| February 19, 2009 | KiSKA Construction Corp.-USA and Kajima Engineering and Construction, Inc., A Joint Venture | Delman |
| February 19, 2009 | Osborne Construction Company | Page |
| February 3, 2009 | Paradigm II, LLC, d/b/a JB Carpet & Upholstery Care | Paul |
| January |  |  |
| January 29, 2009 | RO.VI.B. Srl | Ting |
| January 26, 2009 | DLT Solutions, Inc. | James |
| January 23, 2009 | Strand Hunt Construction, Inc. | Younger |
| January 22, 2009 | ALKAI Consultants, LLC | Thomas |
| January 21, 2009 | William D. Euille & Associates, Inc. | Dickinson |
| January 14, 2009 | Wesleyan Company, Inc. | Freeman |
| January 6, 2009 | Robinson Quality Constructors | Ting |

| Decision Date | Appellant/Petitioner | Judge |
| --- | --- | --- |
| December |  |  |
| December 31, 2008 | Vantage Associates, Inc. | Paul |
| December 18, 2008 | Public Warehousing Company,K.S.C. | Ting |
| December 11, 2008 | ACC Construction Company, Inc. | Wilson |
| December 9, 2008 | States Roofing Corporation | Park-Conroy |
| December 4, 2008 | Freedom NY, Inc. | James |
| December 3, 2008 | Alliance General Contractors, LLC | Younger |
| November |  |  |
| November 24, 2008 | Corners and Edges, Inc. | Delman |
| November 21, 2008 | SUFI Network Services, Inc. | James |
| November 20, 2008 | KAMP Systems, Inc. | Scott |
| November 5, 2008 | Atherton Construction, Inc. | Hartman |
| October |  |  |
| October 31, 2008 | RC Fluid Engineering, Inc. | Freeman |
| October 30, 2008 | Palm Springs General Trading and Contracting Establishment | Ting |
| October 28, 2008 | Piril Insaat Tic, Bilgisayar Elek, Buro D onanim Ltd. Sti. | Freeman |
| October 23, 2008 | Water Reclaim Systems, Inc. | Paul |
| October 21, 2008 | Beyley Construction Group | Ting |
| October 1, 2008 | Ellis Environmental Group, LC | Tunks |
| October 1, 2008 | Comptech Corporation | Hartman |
| September |  |  |
| September 25, 2008 | Southwest Marine, Inc. | Thomas |
| September 22, 2008 | KAMP Systems, Inc. | Scott |
| September 16, 2008 | HITT Contracting, Inc. | Paul |
| September 16, 2008 | States Roofing Corporation | Park-Conroy |
| September 3, 2008 | Robertson & Penn, Inc. d/b/a Cusseta La undry, Inc. | Dickinson |
| August |  |  |
| August 26, 2008 | Advanced Technologies & Testing Laboratories, Inc. | James |
| August 14, 2008 | Corners and Edges, Inc. | Delman |
| August 12, 2008 | Qatar International Tradi ng Co. | Wilson |
| August 8, 2008 | Dick Pacific/GHEMM, JV | Scott |
| August 8, 2008 | Bath Iron Works Corp. | James |
| August 7, 2008 | SET Dis Ticaret v e Sanayi Limited Sirketi | Younger |
| August 7, 2008 | Unconventi onal Concepts, Inc. | James |
| August 5, 2008 | Boeing Satellite Systems, Inc. | Delman |
| July |  |  |
| July 28, 2008 | Dick Pacific/GHRMM, JV | Scott |
| July 25, 2008 | Hanley Industries, Inc. | Park-Conroy |
| July 25, 2008 | Robertson & Penn, Inc. | Dickinson |
| July 23, 2008 | GA P Instrument Corporation | Freeman |
| July 22, 2008 | Ellis Envrionmental Group, LC | Tunks |
| July 22, 2008 | Lasmer Industries, Inc. | Freeman |
| July 16, 2008 | Calculus Cranes | Van Broekhoven |
| July 16, 2008 | International Oil Trade Center | Delman |
| July 10, 2008 | States Roofing Corporation | Park-Conroy |
| July 9, 2008 | Ellis Environmental Group, LC | Wilson |
| June |  |  |
| June 20, 2008 | CANVS Corporation | Delman |
| June 19, 2008 | BearingPoint, Inc. | Younger |
| June 19, 2008 | Todd Pacific Ship yards Corporation | Scott |
| June 18, 2008 | John L. Jones | Stempler |
| June 18, 2008 | DCX-CHOL Enterprises, Inc. | Younger |
| June 12, 2008 | Fuel Tank Maintenance Co., LLC | Thomas |
| June 12, 2008 | Chri stopher H. White | Ting |
| May |  |  |
| May 30, 2008 | Kostmayer Construction, LLC | Peacock |
| May 22, 2008 | Strand Hunt Construction, Inc. | Dickinson |
| May 5, 2008 | L-3 Communications Corporation, Link Simulation & Training Division | Freeman |
| April |  |  |
| April 28, 2008 | Raytheon Company | Delman |
| April 3, 2008 | Teknocraft, Inc. | Stempler |
| March |  |  |
| March 26, 2008 | Freedom NY, Inc. | James |
| March 26, 2008 | Freedom NY, Inc. | James |
| March 24, 2008 | Total Procurement Service, Inc. | Peacock |
| March 21, 2008 | Wackenhut Services, Inc. | Freeman |
| March 21, 2008 | Lockheed Martin Aircraft Center | Scott |
| March 20, 2008 | William Thomas Elam | Thomas |
| March 19, 2008 | Qatar International Trading Co. | Wilson |
| March 18, 2008 | Eagle Alliance | Stempler |
| March 13, 2008 | Service Rodriguez Barragan, S.L. | Paul |
| March 7, 2008 | Mr. Michael Ronchetti an d RFIDcomplete, LLC. | Stempler |
| March 5, 2008 | Fox Construction Inc. | Ting |
| February |  |  |
| February 21, 2008 | Valenzuela Engineering, Inc. | Delman |
| February 15, 2008 | Tr i-State Consultants, Inc. | James |
| February 8, 2008 | AEI Pacific, Inc. | Tunks |
| February 8, 2008 | Flo orpro, Inc. | Van Broekhoven |
| February 6, 2008 | AGES GROUP | Delman |
| January |  |  |
| January 31, 2008 | Public Warehousing Company, K.S.C. | Ting |
| January 28, 2008 | Southwest Marine, Inc. | Thomas |
| January 25, 2008 | Zulco International, Inc. | Park-Conroy |
| January 25, 2008 | Northrop Grumman Ship Systems, Inc. | Scott |
| January 25, 2008 | General Dynamics C 4 Systems, Inc. | Scott |
| January 23, 2008 | The Boeing Company | Delman |
| January 22, 2008 | C.R. Pittman Construction Company, Inc. | Wilson |
| January 15, 2008 | Armstead & Associates, Inc. | Paul |
| January 11, 2008 | The Swanson G roup, Inc. | Shackleford |
| January 9, 2008 | SUFI Network Services, Inc. | James |

| Decision Date | Appellant/Petitioner | Judge |
| --- | --- | --- |
| December |  |  |
| December 31, 2007 | LABAT-Anderson, Inc. | James |
| December 21, 2007 | PRIDE Industries | Ting |
| December 17, 2007 | Individual Development Associates, Inc. | Freeman |
| December 17, 2007 | Doyon Properties-American, JV | Shackleford |
| December 14, 2007 | Freedom NY, Inc. | James |
| December 13, 2007 | Freedom NY, Inc. | James |
| December 10, 2007 | Lockheed Martin Corporation | Freeman |
| December 5, 2007 | Alutiiq, LLC | Younger |
| December 5, 2007 | KAMP Systems, Inc. | Scott |
| November |  |  |
| November 30, 2007 | Syracuse International Technologies | Delman |
| November 29, 2007 | Shubhada Industries, Inc. | Scott |
| November 29, 2007 | Local Communications Network, Inc. | Freeman |
| November 14, 2007 | Readiness Management Support, L.C. | Younger |
| November 6, 2007 | Rex Systems, Inc. | Freeman |
| November 6, 2007 | Webb Electric Company of Florida, Inc. | Scott |
| October |  |  |
| October 23, 2007 | Dick Pacific/GHEMM, JV | Scott |
| October 23, 2007 | Wesleyan Company, Inc. | Freeman |
| October 12, 2007 | Paranetics Technology, Inc. | Tunks |
| October 11, 2007 | Lockheed Martin Corporation | Peacock |
| October 11, 2007 | Conner Bros. Construction Company, Inc. | Younger |
| October 9, 2007 | Zulco International, Inc. | Park-Conroy |
| October 4, 2007 | Fru-Con Construction Corporation | Park-Conroy |
| October 3, 2007 | George G. Sharp, Inc. | James |
| October 2, 2007 | Cubic Defense Applications, Inc. | Ting |
| September |  |  |
| September 24, 2007 | The Swanson Group | Shackleford |
| September 21, 2007 | Tecom, Inc. | Van Broekhoven |
| September 12, 2007 | Diamond Roofing Company, Inc. | Freeman |
| August |  |  |
| August 30, 2007 | DLT Solutions, Inc. | Shackleford |
| August 23, 2007 | Altos Federal Group | Page |
| August 22, 2007 | Armstead & Associates, Inc. | Paul |
| August 21, 2007 | Raytheon Company | Delman |
| August 9, 2007 | Environmental Safety Consultants, Inc. | Thomas |
| August 2, 2007 | Tulsa Mid-West Construction Co. | James |
| July |  |  |
| July 31, 2007 | Factek, LLC | Younger |
| July 25, 2007 | Interstate Electronics Corporation | Freeman |
| July 12, 2007 | Advanced Communications Systems | Freeman |
| July 6, 2007 | FFR-Bauelemente + Bausanierung GmbH | Hartman |
| July 2, 2007 | Maersk Line, Ltd. | Ting |
| July 2, 2007 | Eimskipafeleg Island, ehf | Ting |
| June |  |  |
| June 27, 2007 | FloorPro, Inc. | Van Broekhoven |
| June 27, 2007 | Lockheed Martin Corporation | Peacock |
| June 20, 2007 | Honeywell International, Inc. | James |
| June 18, 2007 | Environmental Safetey Consultants, Inc. | Van Broekhoven |
| June 14, 2007 | Electric Boat Corporation | Younger |
| June 1, 2007 | Business Management Research Associates, Inc. | Stempler |
| May |  |  |
| May 31, 2007 | Mumford & Miller Concrete, Inc. | Freeman |
| May 30, 2007 | Advance Construction Services, Inc. | James |
| May 30, 2007 | Bruce E. Zoeller | Delman |
| May 23, 2007 | ICI Americas, Inc. | Freeman |
| May 10, 2007 | American Bridge Company | Tunks |
| May 10, 2007 | Systems Integrated | Delman |
| May 8, 2007 | ESA Environmental Specialists, Inc. | Stempler |
| April |  |  |
| April 25, 2007 | Bay West, Inc. | Park-Conroy |
| April 23, 2007 | Factek, LLC | Younger |
| April 23, 2007 | GAP Instrument Corporation | Freeman |
| April 17, 2007 | Fiber Materials, Inc. | Scott |
| April 9, 2007 | Ellis Environmental Group, LC | Shackleford |
| April 9, 2007 | HAM Investments, LLC | Shackleford |
| April 4, 2007 | Business Management Research Associates, Inc. | Tunks |
| January |  |  |
| January 11, 2007 | Lockheed Martin Aircraft Center | Scott |
| January 4, 2007 | Dick Pacific/GHEMM JV | Scott |

| Decision Date | Appellant/Petitioner | Judge |
| --- | --- | --- |
| December |  |  |
| December 20, 2006 | International Technology Corporation | Delman |
| December 19, 2006 | KAMP Systems Inc. | Scott |
| December 18, 2006 | Demusz Manufacturing Company, Inc. | Ting |
| December 15, 2006 | Steelhead Constructors, Inc. | James |
| December 8, 2006 | Emerson Construction Company, Inc. | Tunks |
| December 6, 2006 | Packard Construction Corp. | James |
| November |  |  |
| November 28, 2006 | KiSKA Construction Corp.-USA and Kajima Engineering and Construction, Inc., a Joint Venture | Delman |
| November 22, 2006 | W. B. Meredith II, Inc. | Delman |
| November 20, 2006 | The Minesen Company | Paul |
| November 8, 2006 | SUFI Network Services, Inc. | James |
| November 8, 2006 | Alameda Reuse and Redevelopment Authority | Thomas |
| November 6, 2006 | KiSKA Construction Corp.-USA and Kajima Engineering and Construction, Inc., a Joint Venture | Delman |
| November 2, 2006 | The Minesen Company | Paul |
| October |  |  |
| October 30, 2006 | Mass Construction Group, Inc. | Paul |
| October 26, 2006 | Advanced Communications Systems | Freeman |
| October 25, 2006 | Chem-Care Company, Inc. | Shackleford |
| October 25, 2006 | Gosselin World Wide Moving NV | Ting |
| October 23, 2006 | Guarino Corporation | Page |
| October 19, 2006 | Haskell Corporation | Peacock |
| October 18, 2006 | Todd Pacific Shipyards Corporation | Scott |
| October 5, 2006 | Bean Stuyvesant L.L.C. | Delman |
| September |  |  |
| September 27, 2006 | United Paradyne Corporation | Freeman |
| September 22, 2006 | B&B Devices, Inc. | James |
| September 19, 2006 | HAM Investments, LLC | Shackleford |
| August |  |  |
| August 31, 2006 | M.A. Mortenson Company (On behalf of Grazzini Brothers and Company) | Shackleford |
| August 31, 2006 | General Injectables & Vaccines, Inc. | Dicus |
| August 28, 2006 | Valenzuela Engineering, Inc. | Delman |
| August 25, 2006 | Catel, Inc. | Ketchen |
| August 23, 2006 | Sullivan Marina & Campground, L.L.C. | Freeman |
| August 22, 2006 | Steelhead Constructors, Inc. | James |
| August 21, 2006 | AM General LLC | Ting |
| August 18, 2006 | ACR Machine, Inc. | Freeman |
| August 17, 2006 | Emerson Construction Company, Inc. | Tunks |
| August 10, 2006 | Ingenieria y Constructora Washington, S.A. | Shackleford |
| August 9, 2006 | Gray Personnel, Inc. | Thomas |
| July |  |  |
| July 31, 2006 | Spindler Construction Corporation | Park-Conroy |
| July 31, 2006 | Spectrum Healthcare Resources, Inc. | James |
| July 28, 2006 | GAP Instrument Corporation | Dicus |
| July 27, 2006 | P&C Placement Services, Inc. | Van Broekhoven |
| July 27, 2006 | L-3 Communications Corporation | Freeman |
| July 27, 2006 | Performance Construction, Inc. | Shackleford |
| July 21, 2006 | LABAT-Anderson, Inc. | James |
| July 19, 2006 | Individual Development Associates, Inc. | Freeman |
| July 17, 2006 | International Technology Corporation | Delman |
| July 17, 2006 | Sarang-National Joint Venture | Ting |
| July 14, 2006 | ADT Construction Group, Inc. | Stempler |
| July 13, 2006 | JDD, Inc. | Ketchen |
| July 12, 2006 | SPACEHAB, Inc. | Dicus |
| July 12, 2006 | All-State Construction, Inc. | Freeman |
| June |  |  |
| June 27, 2006 | AquaTerra Contracting, Inc. | Freeman |
| June 23, 2006 | Whitesell-Green, Inc. | Kienlen |
| June 22, 2006 | B.W. Farrell, Inc. | Dicus |
| June 19, 2006 | Range Technology Corporation | Park-Conroy |
| June 19, 2006 | Environmental Safety Consultants, Inc. | James |
| June 13, 2006 | Technocratica | Hartman |
| June 13, 2006 | Simplix | Dicus |
| June 9, 2006 | Grumman Aerospace Corporation | Delman |
| May |  |  |
| May 24, 2006 | Mitchell Enterprises, Inc. | Kienlen |
| May 23, 2006 | L-3 Communications Link Simulation and Training | Freeman |
| May 22, 2006 | JWK Korea Ltd. | Harty |
| May 18, 2006 | Kato Corporation | Hartman |
| May 12, 2006 | United Technologies Corporation, Pratt & Whitney | Park-Conroy |
| May 10, 2006 | Westar Revivor, Inc. (formerly Westar, Inc.) | Delman |
| May 4, 2006 | Mitchell Enterprises, Inc. | Kienlen |
| May 3, 2006 | Imperial Construction & Electric, Inc. | Reed |
| April |  |  |
| April 21, 2006 | Bath Iron Works Corporations | James |
| April 20, 2006 | Advanced Business Concepts, Inc. | Younger |
| April 12, 2006 | Applied Companies, Inc. | Dicus |
| April 12, 2006 | The Boeing Company | Younger |
| April 11, 2006 | Craft Cooling, Inc. | Van Broekhoven |
| April 5, 2006 | AIT Worldwide Logistics, Inc. | Van Broekhoven |
| March |  |  |
| March 30, 2006 | KiSKA Construction Corp.-USA and Kajima Engineering and Construction, Inc., A Joint Venture | Delman |
| March 29, 2006 | Dual, Inc. | Reed |
| March 28, 2006 | Orion Technology, Inc. | Todd |
| March 28, 2006 | Curry Contracting Company, Inc. | Reed |
| March 14, 2006 | Simplix | Dicus |
| March 13, 2006 | AquaTerra Contracting, Inc. | Rome |
| March 13, 2006 | AquaTerra Contracting, Inc. | Rome |
| March 10, 2006 | Sarang-National Joint Venture | Ting |
| March 10, 2006 | ADT Construction Group, Inc. | Stempler |
| March 9, 2006 | IMS Engineers - Architects, P.C. | Tunks |
| March 7, 2006 | Environmental Saftey Consultants, Inc. | James |
| March 1, 2006 | Abt Associates Inc. | Peacock |
| February |  |  |
| February 28, 2006 | Parker Excavating, Inc. | Todd |
| February 27, 2006 | Grumman Aerospace Corporation | Delman |
| February 17, 2006 | Packard Construction Corporation | Thomas |
| February 16, 2006 | Service Rodriguez, Barragon, S.L. | Ketchen |
| February 7, 2006 | Hunt Building Company, Ltd. | Freeman |
| February 7, 2006 | Collazo Contractors, Inc. | Park-Conroy |
| February 2, 2006 | AM General LLC | Ting |
| February 2, 2006 | ARCTEC Alaska | Freeman |
| February 1, 2006 | Interaction Research Institute, Inc. | James |
| February 1, 2006 | Sykes Communications, Inc. | James |
| January |  |  |
| January 31, 2006 | Alan Waller | Freeman |
| January 31, 2006 | Harper/Nielsen Dillingham Builders JV | Williams |
| January 31, 2006 | Jurass Company | Reed |
| January 26, 2006 | DynCorp | Dicus |
| January 26, 2006 | JT Construction Company, Inc. | Younger |
| January 24, 2006 | A-Greater New Jersey Movers, Inc. | Todd |
| January 23, 2006 | Lamb Engineering & Construction Company | Reed |

| Decision Date | Appellant/Petitioner | Judge |
| --- | --- | --- |
| December |  |  |
| December 29, 2005 | ITT Federal Services International Corporation | Peacock |
| December 23, 2005 | CATH-dr/Balti Joint Venture | Tunks |
| December 22, 2005 | Bath Iron Works Corp. | James |
| December 21, 2005 | Pantech Construction Company, Inc. | Ketchen |
| December 19, 2005 | American Renovation & Construction Co. and St. Paul Fire & Marine Insurance Co. | Tunks |
| December 15, 2005 | Johnson Controls-Hill L.L.C. | Todd |
| December 14, 2005 | GarCom, Inc. | Dicus |
| December 8, 2005 | KSC-TRI Systems, USA, Inc. | Todd |
| December 8, 2005 | Tyrone Shanks | James |
| November |  |  |
| November 21, 2005 | Pete Vicari General Contractor, Inc. | Freeman |
| November 18, 2005 | S.P.L. Spare Parts Logistics, Inc. | Tunks |
| November 18, 2005 | Engineered Demolition, Inc. | Ting |
| November 17, 2005 | Lovering-Johnson, Inc. | Peacock |
| November 10, 2005 | Ryste & Ricas, Inc. | Younger |
| November 2, 2005 | Hunt Building Company, Ltd. | Todd |
| November 1, 2005 | Environmental Safety Consultants, Inc. | Todd |
| October |  |  |
| October 27, 2005 | MPR Associates, Inc. | Ketchen |
| October 26, 2005 | Woodside Summit Group, Inc. | Freeman |
| October 26, 2005 | Environmental Safety Consultants, Inc. | Todd |
| October 18, 2005 | C.H. Hyperbarics, Inc., on behalf of William J. Miller, Jr., Trustee | Todd |
| October 14, 2005 | Lear Siegler Services, Inc. | Todd |
| October 13, 2005 | ARCTEC Alaska | Freeman |
| October 13, 2005 | The Swanson Group, Inc. | Todd |
| October 5, 2005 | General Dynamics Decision Systems, Inc. | James |
| September |  |  |
| September 30, 2005 | McKenzie Engineering Company | Younger |
| September 29, 2005 | Charitable Bingo Associates, Inc.,d/b/a Mr. Bingo, Inc. | Younger |
| September 29, 2005 | S.A.S. Bianchi Ugo fu Gabbriello | Page |
| September 29, 2005 | Thomas & Sons Building Contractors, Inc. | Freeman |
| September 28, 2005 | Fru-Con Construction Corporation | Park-Conroy |
| September 28, 2005 | Win Ballance, Inc. | Harty |
| September 19, 2005 | Grumman Aerospace Corporation | Delman |
| September 15, 2005 | Environmental Safety Consultants, Inc. | Todd |
| September 14, 2005 | Precision Dynamics, Inc. | Hartman |
| September 14, 2005 | Sandoval Plumbing Repair, Inc. d/b/a Sandoval Construction Co. | Freeman |
| September 13, 2005 | WEDJ/Three C's, Inc. | Hartman |
| September 9, 2005 | Tyrone Shanks | James |
| August |  |  |
| August 29, 2005 | Government Business Services Group, LLC | Peacock |
| August 26, 2005 | The Swanson Group, Inc. | Park-Conroy |
| August 19, 2005 | All Star Maintenance, Inc. | Dicus |
| August 17, 2005 | Amigo Building Corporation | Page |
| August 17, 2005 | CATH-dr/Balti Joint Venture | Tunks |
| July |  |  |
| July 28, 2005 | Defense Supply Systems, Inc. | Todd |
| July 26, 2005 | G & C Enterprises, Inc. | Gruggel |
| July 26, 2005 | Hanley Industries, Inc. | Freeman |
| July 25, 2005 | Lockheed Martin Aircraft Center | Younger |
| July 22, 2005 | Collazo Contractors, Inc. | Park-Conroy |
| July 21, 2005 | Rex Systems, Inc. | Freeman |
| July 11, 2005 | Performance Construction, Inc. | Shackleford |
| July 8, 2005 | Bridget Allen | Shackleford |
| July 7, 2005 | Robust Construction, L.L.C. | James |
| July 5, 2005 | New London Development Corporation | Freeman |
| June |  |  |
| June 27, 2005 | M.A. Mortenson Company | Ting |
| June 22, 2005 | Alpine Computers, Inc. | James |
| June 22, 2005 | CareFirst BlueCross BlueShield | Dicus |
| June 16, 2005 | eciConstruction, LLC | Kienlen |
| June 15, 2005 | Hunt Building Company, Ltd. | Todd |
| June 13, 2005 | Applied Companies | Reed |
| June 9, 2005 | Alfair Development Company, Inc. | Reed |
| June 9, 2005 | C.H. Hyperbarics, Inc., on behalf of William J. Miller, Jr., Trustee | Todd |
| June 6, 2005 | CKY, Inc. | Freeman |
| June 6, 2005 | Paranetics Technology, Inc. | Delman |
| June 6, 2005 | Northrop Grumman Corporation | Dicus |
| June 3, 2005 | Friedman Enterprises, Inc. | James |
| June 1, 2005 | Individual Development Associates, Inc. | Stempler |
| May |  |  |
| May 25, 2005 | MIG Corporation | Park-Conroy |
| May 24, 2005 | M.A. Mortenson Company | Rome |
| May 24, 2005 | Systems Integrated | Delman |
| May 23, 2005 | Plum Run, Inc. | Thomas |
| May 18, 2005 | RGW Communications, Inc. d/b/a Watson Cable Company | Dicus |
| May 10, 2005 | Luedtke Engineering Company | Delman |
| May 5, 2005 | Catel, Inc. | Ketchen |
| April |  |  |
| April 29, 2005 | CACI International, Inc. | Dicus |
