Title: 亞洲田徑紀錄列表

URL Source: https://zh.wikipedia.org/zh-cn/%E4%BA%9E%E6%B4%B2%E7%94%B0%E5%BE%91%E7%B4%80%E9%8C%84%E5%88%97%E8%A1%A8

Published Time: 2014-09-30T16:13:58Z

Markdown Content:
**亚洲田径纪录**是 亚洲田径总会 会员国运动员在各项目创下的最佳成绩。

**标示**： 等待承认 亚洲田径协会未纪录 亚洲田径协会不承认之纪录

ht = hand timing

+ = en route to a longer distance

A = affected by altitude

a = aided road course according to IAAF rule 260.28

# = not recognised by association

nw = no wind measurement

! = timing by photo-electric cell

刘翔 于奥林匹克运动会夺得金牌，曾于 110米跨栏 项目打破世界纪录，迄今仍为亚洲纪录保持者。

十项全能 纪录保持者 德米特里·卡尔波夫

| 项目 | 纪录 | 运动员 | 国籍 | 日期 | 赛事 | 地点 | 参考 |
| 4×800米接力 | 7:06.66 | Majed Saeed Sultan Salem Amer Al-Badri Abdulrahman Suleiman Abubaker Ali Kamal | 卡塔尔 | 2006年8月28日 | Memorial Van Damme | 比利时 布鲁塞尔 | [20] |
| 4×1500米接力 | 15:10.77 |  | 卡塔尔 | 2014年5月25日 | IAAF World Relays | 巴哈马 拿骚 | [21] |
| 马拉松 驿站接力赛 | 1:58:58 | 松宫隆行 (13:34) 佐藤悠基 (27:52) 佐藤敦之 (13:59) 家谷和男 (28:26) 细川道隆 (14:10) 大坪隆诚 (20:57) | 日本 | 2005年11月23日 | International Chiba Ekiden | 日本 千叶市 |  |

| 项目 | 纪录 | 运动员 | 国籍 | 日期 | 赛事 | 地点 | 参考 |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 100码 | 11.14+ (-0.1 m/s) | Anoma Sooriyaarachchi | 斯里兰卡 | 2011年5月31日 | Golden Spike Ostrava | 捷克 奥斯特拉瓦 | [22] |
| 10.0 (ht), (nw) | 纪政 | 台湾 | 1970年6月13日 |  | 美国 美国 波特兰 |  |
| 100米 | 10.79 (0.0 m/s) | 李雪梅 | 中国 | 1997年10月18日 | 全国运动会 | 中国 上海市 |  |
| 150米 (bend) | 16.82+ (+1.7 m/s) | Susanthika Jayasinghe | 斯里兰卡 | 2007年8月31日 | 世界田径锦标赛 | 日本 大阪市 |  |
| 200米 | 22.01 (0.0 m/s) | 李雪梅 | 中国 | 1997年10月22日 | 全国运动会 | 中国 上海市 |  |
| 300米 | 37.80 | 久保仓里美 | 日本 | 2009年4月19日 |  | 日本 出云市 |  |
| 400米 | 49.08 | Salwa Eid NASER | 巴林 | 2018年7月20日 | 钻石联赛 | 孟邦 摩纳哥 |  |
| 800米 | 1:55.54 | 刘东 | 中国 | 1993年9月9日 | 全国运动会 | 中国 北京市 |  |
| 1000米 | 2:41.08 | 杉森美保 | 日本 | 2002年6月19日 |  | 日本 横滨市 |  |
| 1500米 | 3:50.46 | 曲云霞 | 中国 | 1993年9月11日 | 全国运动会 | 中国 北京市 |  |
| 1英里 | 4:17.75 | 玛丽·尤索夫·贾马尔 | 巴林 | 2007年9月14日 | Memorial Van Damme | 比利时 布鲁塞尔 |  |
| 2000米 | 5:29.43+! | 王军霞 | 中国 | 1993年9月12日 | 全国运动会 | 中国 北京市 |  |
| 5:31.88 | 玛丽·尤索夫·贾马尔 | 巴林 | 2009年6月7日 |  | 美国 美国 尤金 |  |
| 3000米 | 8:06.11 | 王军霞 | 中国 | 1993年9月13日 | 全国运动会 | 中国 北京市 |  |
| 2英里赛跑 | 9:13.85 | Mimi Belete | 巴林 | 2014年5月31日 | 普里方腾经典赛 | 美国 美国 Eugene | [23] |
| 5000米 | 14:28.09 | 姜波 | 中国 | 1997年10月23日 | 全国运动会 | 中国 上海市 |  |
| 5公里（公路） | 14:53+ | Violah Jepchumba | 巴林 | 2017年4月1日 | 布拉格半程马拉松赛 | 捷克 布拉格 | [24] |
| 10000米 | 29:31.78 | 王军霞 | 中国 | 1993年9月8日 | 全国运动会 | 中国 北京市 |  |
| 10公里（公路） | 30:05+ | Violah Jepchumba | 巴林 | 2017年4月1日 | 布拉格半程马拉松赛 | 捷克 布拉格 | [24] |
| 15公里（公路） | 45:40+ | Violah Jepchumba | 巴林 | 2017年4月1日 | 布拉格半程马拉松赛 | 捷克 布拉格 | [24] |
| 一小时跑 | 17952 m | 片冈纯子 | 日本 | 1994年10月1日 |  | 日本 东京都 | [6] |
| 20000米（道路） | 1:06:48.8 | 真木和 | 日本 | 1993年9月19日 |  | 日本 尼崎市 |  |
| 20公里（公路） | 1:01:50+ | Violah Jepchumba | 巴林 | 2017年4月1日 | 布拉格半程马拉松赛 | 捷克 布拉格 | [25] |
| 半程马拉松 | 1:05:22 | Violah Jepchumba | 巴林 | 2017年4月1日 | 布拉格半程马拉松赛 | 捷克 布拉格 | [25] |
| 25000米（道路） | 1:33:53.4+ | 奥野たまき | 日本 | 1996年10月10日 |  | 日本 东京都 |  |
| 25公里（公路） | 1:22:08+ a # | 高桥尚子 | 日本 | 1998年12月6日 |  | 泰国 曼谷 |  |
| 1:22:13+ | 野口水木 | 日本 | 2005年9月25日 | 柏林马拉松 | 德国 柏林 | [26] |
| 30000米（道路） | 1:53:03.6 | 奥野たまき | 日本 | 1996年10月10日 |  | 日本 东京都 |  |
| 30公里（公路） | 1:38:49+ | 野口水木 | 日本 | 2005年9月25日 | 柏林马拉松 | 德国 柏林 | [26] |
| 35公里（公路） | 1:55:19+ | 野口水木 | 日本 | 2005年9月25日 | 柏林马拉松 | 德国 柏林 | [26] |
| 40公里（公路） | 2:11:53+ | 野口水木 | 日本 | 2005年9月25日 | 柏林马拉松 | 德国 柏林 | [26] |
| 马拉松 | 2:19:12 | 野口水木 | 日本 | 2005年9月25日 | 柏林马拉松 | 德国 柏林 | [26] |
| 100公里（公路） | 6:33:11 | 安部友惠 | 日本 | 2000年6月25日 |  | 日本 涌别町 |  |
| 100米跨栏 | 12.44 (-0.8 m/s) | Olga Shishigina | 哈萨克斯坦 | 1995年6月27日 |  | 瑞士 卢塞恩 |  |
| 400米跨栏 | 53.96 | 韩青 | 中国 | 1993年9月9日 | 中国全国运动会 | 中国 北京市 |  |
| 宋英兰 | 中国 | 2001年11月22日 | 全国运动会 | 中国 广州市 |  |
| 2000米障碍赛 | 6:14.34 | Tigest Getent | 巴林 | 2015年9月6日 | ISTAF | 德国 柏林奥林匹克体育场 | [27] |
